,corp_code,stock_code,corp_cls,corp_name,sector,product
0,00378363,060310,K,3S,전자부품 제조업,반도체 웨이퍼 캐리어
1,00365387,095570,Y,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)"
2,00125080,006840,Y,AK홀딩스,기타 금융업,지주사업
3,00296078,054620,K,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션
4,01203808,265520,K,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비
5,00874803,211270,K,AP위성,통신 및 방송 장비 제조업,위성통신 단말기
6,00219097,027410,Y,BGF,기타 금융업,지주회사
7,01263022,282330,Y,BGF리테일,종합 소매업,체인화 편의점
8,00599595,126600,K,BGF에코머티리얼즈,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩
9,00858364,138930,Y,BNK금융지주,기타 금융업,금융지주회사
10,00122579,001460,Y,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급"
11,00151605,013720,K,CBI,자동차 신품 부품 제조업,엔진부품
12,00148540,001040,Y,CJ,기타 금융업,지주회사
13,00303873,079160,Y,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영"
14,00265324,035760,K,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타"
15,01071041,311690,K,CJ 바이오사이언스,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스"
16,00113410,000120,Y,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting"
17,00129013,011150,Y,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입"
18,00635134,097950,Y,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매"
19,00127954,051500,K,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식"
20,00380429,058820,K,CMG제약,의약품 제조업,의약품
21,00149266,023460,K,CNH,신탁업 및 집합투자업,투자자문
22,00318662,056730,K,CNT85,건물설비 설치 공사업,산업설비 제조외
23,00303703,065770,K,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)"
24,00406037,083660,K,CSA 코스믹,기타 화학제품 제조업,화장품 제조 및 판매
25,00149026,000590,Y,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당"
26,00163345,012030,Y,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리"
27,01505450,367340,K,DB금융스팩8호,기타 금융업,기업인수 및 합병
28,00115694,016610,Y,DB금융투자,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매"
29,00159102,005830,Y,DB손해보험,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험"
30,00160843,000990,Y,DB하이텍,반도체 제조업,반도체 제조
31,00878915,139130,Y,DGB금융지주,기타 금융업,지주회사
32,00367695,060900,K,DGP,전기업,풍력 및 태양광 발전업
33,00109693,000210,Y,DL,기타 금융업,지주회사
34,00128971,001880,Y,DL건설,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매"
35,01524093,375500,Y,DL이앤씨,토목 건설업,토목 건설 사업
36,00361594,068790,K,DMS,특수 목적용 기계 제조업,LCD 제조장비
37,00116949,007340,Y,DN오토모티브,일차전지 및 축전지 제조업,자동차용 밧데리
38,00118266,004840,Y,DRB동일,고무제품 제조업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매"
39,01109715,241520,K,DSC인베스트먼트,신탁업 및 집합투자업,투자조합 결성 및 투자
40,00390860,065150,K,DSEN,음·식료품 및 담배 도매업,"외식프랜차이즈사업,육류가공,식자재유통등"
